mRNA/gene pair,Ensembl IDs,Caov3,COV362,TYK-nu,OVCAR-4,SNU-119,FU-OV-1,IGROV-1,HEY A8,JHOS-2,NIHOVCAR3,OV56 ,OVSAHO,RMUG-S,OV-90,A2780,KURAMOCHI,OVCAR-8
PPP4R1,ENSG00000166145,1478.28,941.502,3261.06,559.193,1314.52,561.467,529.346,2499.17,1107.32,454.053,331.148,84.2656,1583.12,1953.32,1851.79,272.255,1856.56
MBD3,ENSG00000109654,1006.9,1726.94,738.808,682.106,703.964,1116.3,1117.41,3258.96,453.379,1345.77,481.626,1268.8,501.748,873.105,2276.51,3319.93,1958.69
MBD2,ENSG00000110171,1558.12,813.766,794.768,1188.8,1047.05,924.999,1281.91,1244.56,829.684,1593.84,279.375,1045.04,1848.13,702.221,1410.53,1374.26,812.092
VPS35,ENSG00000153885,3682.48,3193.36,6767.11,3936.68,1864.23,1464.69,2010.88,4166.02,4402.52,1883.92,3282.04,635.106,4594.27,3400.44,3387.17,1092.6,2932.63
OSBPL9,ENSG00000128928,1538.28,857.799,850.359,1011.3,1354.66,564.591,570.623,1326.35,1275.05,858.912,1480.51,568.041,1398.57,1760.93,691.253,475.45,1021.37
OSBPL11,ENSG00000015171,729.286,550.962,1064.08,862.297,1697.82,655.746,660.438,717.587,736.558,823.529,140.179,399.317,959.234,795.475,1152.37,324.945,892.443
EPHB3,ENSG00000152952,89.9441,452.913,414.362,183.584,1471.64,35.4958,464.88,86.5709,846.864,1439.51,22.3828,50.2066,1830.63,644.742,614.508,806.283,292.277
EPHB2,ENSG00000183258,231.531,1504.19,1084.03,297.318,612.082,399.992,623.057,850.098,1791.05,1294.1,1572.95,485.319,1451.89,1042.33,209.395,2202.56,338.152
EPHA2,ENSG00000146648,1902.2,4262.31,6000.19,1747.19,4508.75,2045.87,353.297,6506.02,2511.38,3163.7,3165.93,898.917,1968.21,3588.05,1871.99,4486.69,1390.64
LRWD1,ENSG00000141736,1072.68,1046.13,2294.16,1156.43,1063.04,577.272,1510.85,540.786,798.034,2438.77,1088.17,1112.01,1366.19,2397.5,1567.8,1356.29,336.248
CDCA2,ENSG00000106144,178.357,744.951,1610.83,139.728,334.765,3259.79,758.118,1508.9,386.007,1512.46,597.288,1982.04,149.028,409.657,568.665,336.745,1026.23
HMCES,ENSG00000130816,1449.58,520.715,1436.83,457.61,2503.77,451.23,872.057,992.146,569.705,681.944,321.365,289.294,316.472,414.814,1456.33,596.127,2160.7
SPINT1,ENSG00000187051,2933.54,808.642,914.041,1270.87,4805.69,221.726,2863.56,79.0253,649.597,2424.44,286.298,293.956,3882.83,13965.9,341.119,435.23,360.291
TRIM2,ENSG00000155229,660.367,669.965,681.927,608.835,2225.97,443.611,1140.84,153.402,651.87,736.857,455.912,221.929,274.772,322.373,1488.71,529.039,251.601
TRIM3,ENSG00000158773,258.864,202.157,228.815,13.7367,121.683,249.56,842.479,312.828,545.746,551.541,373.247,237.255,217.425,94.6285,388.344,28.4771,375.021
KCTD15,ENSG00000151914,538.146,632.307,940.172,786.499,500.088,927.673,911.067,2119.18,212.942,394.921,860.148,911.919,419.17,517.147,848.657,63.4669,795.215
IVD,ENSG00000127603,2986.72,2301.79,2479.43,1709.8,1996,2992.26,4122.42,3366.47,2648.51,4288.08,1010.69,2221.54,1026.66,533.465,2396.57,4508.56,1894.37
ZMYND11,ENSG00000050327,279.798,739.498,704.418,1112.14,4475.36,279.917,1173.01,636.953,271.994,304.707,399.796,1724.86,193.043,191.546,598.018,1610.2,172.139
DDX41,ENSG00000124614,4719.24,2628.2,6299.91,1791.08,4279.87,2859.5,3121.26,2032.6,1807.06,2389.07,2231.65,2035.49,2511.83,2720.68,4860.92,2386.79,1640.3
EGFR,ENSG00000115355,5800.93,6650.72,3910.73,2610.53,2333.29,1634.82,5566.45,9549.03,4531.46,6042.4,4837.07,685.004,6786.66,1233.31,768.508,521.351,3879.48
ERBB2,ENSG00000015133,622.705,296.155,1653.79,807.992,6400.28,2062.75,2323.23,79.7772,827.555,1194.89,398.955,312.87,1810.82,655.33,451.053,1846.74,398.687
CASP2,ENSG00000168610,839.983,247.152,481.793,81.1273,498.083,186.031,335.684,412.682,368.529,236.817,142.218,201.18,100.749,241.301,579.876,279.914,946.872
DNMT1,ENSG00000105698,4545.39,5349.36,7698.94,5797.87,14805.4,1710.15,4019.34,4650.38,3730.57,3941.88,1995.87,3775.84,3761.14,1274.14,4758.73,4330.69,5191.56
RPS19BP1,ENSG00000092201,242.53,425.082,497.717,399.606,672.409,588.457,1738.17,608.347,632.458,1058.63,462.946,302.541,388.827,410.213,1376.21,664.521,38.057
MMS19,ENSG00000173598,1484.14,1649.88,2349.29,1039.06,2065.82,1222.43,1184.64,3532,1849.55,1050.66,1493.47,209.394,1876.63,964.83,2960.49,496.275,1042.19
USF1,ENSG00000152229,261.269,62.9503,129.253,180.282,494.506,569.352,540.551,202.257,75.2411,171.61,123.417,1071.34,182.999,343.487,1071.62,1025.04,246.069
DST,ENSG00000160255,9001.53,6376.4,16094,2640.59,4963.37,2573.71,2352.92,17701,20866.1,4880.39,4199.51,1057.69,14970.8,6582.06,3123.52,1508.67,7686.68
MACF1,ENSG00000082781,18485.5,12812.5,59346.7,11379.1,13539.1,7978.18,5700.31,26003.5,21467.1,6102.29,13211.6,3703.58,19611.5,10847.7,15290.2,15847.3,5905.98
ARHGEF5,ENSG00000124486,956.434,339.167,224.83,514.042,1764.77,493.09,803.892,48.2992,749.659,735.929,382.398,147.89,1333.18,1317.93,49.2268,1053.88,816.967
RPS10P5,ENSG00000090863,5320.38,4097.26,4992.56,1385.99,1729.65,1343.75,2274.44,1318.87,1503.08,1071.07,2318.33,628.495,2263.93,1786.73,3308.89,1119.03,2589.04
RPS10,ENSG00000119969,2987.09,1384.67,3286.69,1269.64,667.687,790.794,2149.61,1967.66,1908.28,1509.93,1562.82,311.993,2318.95,2534.52,2912.28,1510.06,1009.75
CCDC88A,ENSG00000136153,1454.2,599.033,2825.58,403.57,225.999,1667.46,2461.33,4148.39,1104.34,343.371,1817.83,372.396,1918.15,1860.76,4378.55,1158.11,5285.66
CCDC88C,ENSG00000182979,567.787,235.569,923.91,262.787,438.687,464.366,442.215,404.274,813.205,1013.61,305.211,229.805,82.7811,139.466,663.349,819.819,191.811
STAT3,ENSG00000149480,2856.59,1586.63,2132.41,834.908,1750.86,2876.73,2133.32,2056.45,2956.58,670.401,1243.4,499.612,2182.56,1061.5,1849.74,624.676,842.473
USF2,ENSG00000057935,653.276,782.818,120.113,1056.56,751.548,998.05,535.873,519.381,430.557,751.495,116.166,306.685,972.517,406.82,345.517,597.05,775.546
SUPT16H,ENSG00000168056,10821.5,9427.86,15091.4,5021.66,16588.2,7167.47,11141.6,7666.7,3493.32,5060.56,4361.34,5174.68,6495.56,8655.93,9754.1,10334.7,5923
NUDT4,ENSG00000066777,338.998,135.149,770.188,317.255,535.99,339.4,353.681,328.633,536.984,162.511,253.783,122.051,662.552,1085.14,1935.85,234.402,554.269
PSTPIP2,ENSG00000124198,460.696,88.9957,218.565,145.831,483.152,448.773,2569.16,1061.78,375.433,176.202,151.814,402.306,162.467,62.286,1487.17,190.099,376.901
ITGB2,ENSG00000008256,340.302,977.391,212.963,482.265,1756.46,126.231,74.6839,506.573,696.951,671.521,1049.04,251.672,466.575,175.473,404.102,81.7432,394.167
ITGB5,ENSG00000175054,2673.69,981.272,588.069,586.961,1924.39,1702.32,1160.64,1294.69,3701.9,4406.73,1277.41,2044.59,5367.92,2300.42,377.009,4173.84,667.552
USP9X,ENSG00000111331,7547.31,5510.4,7118.03,3242.74,4363.55,1691.22,3578.47,2953.61,5497.56,2200.39,3269.21,732.299,5193.46,4710.62,6232.4,1759.14,2448.45
GLG1,ENSG00000149182,3602.65,2493.73,6739.98,3052.81,11067.9,6020.86,10685.8,2471.39,5025.79,5810.58,5918.98,2612.45,10542.7,15080,5477.65,2992.79,1400.45
HELLS,ENSG00000115760,968.528,1402.58,2106.2,565.323,3878.54,734.119,2997.71,908.384,1031.68,2182.14,331.069,402.12,213.119,546.519,3517.78,1516.25,428.295
LMO7,ENSG00000105576,8424.43,3992.68,5412.7,3631.68,25908.8,3119.74,5814.46,2495.75,13158.3,3810.89,2353.66,3446.78,13078.4,13636.5,1211.42,7085.56,6322.19
MTA1,ENSG00000083312,4920.05,3183.07,5132.55,2049.65,3314.8,4053.88,3277.6,2281.9,2570.91,5379.61,1514,3379.19,1825.65,2472.17,3252.65,3531.63,1450.68
MTA2,ENSG00000087299,4878,6036.75,5936.03,2899.41,8681.01,5269.25,3511.39,3491.79,1540.91,2574.22,1472.64,4395.47,1756.43,2148.84,3697.18,5478.25,2554.07
MTA3,ENSG00000162688,994.515,1283.72,654.89,625.012,2669.4,687.618,2261.64,1031.21,765.769,1820.86,814.321,962.062,2023.99,1549.37,1464.76,1666.2,139.157
LTBP3,ENSG00000011260,1351.37,528.944,253.69,52.4504,1463.65,698.288,83.1423,412.806,5865.03,2628.41,1165.58,3263.33,1533.61,1458.94,913.593,3429.24,463.283
ARFGEF1,ENSG00000127554,5194.87,2321.52,5497.64,4530.12,3016,701.124,3385.66,5349.55,4641.4,2405.76,3037.45,533.237,4331.46,2860.91,4144.94,1244.19,1308.98
ARFGEF2,ENSG00000008838,1435.17,1301.48,4189.59,2913.72,3001.34,606.222,2008.73,2905.46,1092.33,776.612,887.653,265.45,2040.39,1410.76,2795.16,1126.89,482.41
CYTH3,ENSG00000153339,93.8146,65.8406,229.894,100.314,475.503,110.197,399.648,407.036,75.2833,100.683,45.7509,29.2968,250.984,179.408,66.5102,298.077,290.814
ATR,ENSG00000137145,560.467,822.049,1681.58,390.517,2391.32,277.466,1576.87,1796.09,1813.43,4222.7,613.911,67.9786,1317.77,497.73,1553.99,1406.77,151.991
OAS3,ENSG00000156931,4305.18,4927.38,14176.5,703.748,923.961,1649.88,763.728,1951.33,2415.84,677.022,14044.5,363.931,2257.09,1625.01,1796.02,1007.36,535.837
ARFGAP2,ENSG00000174485,4364.12,1621.33,1375.2,814.763,726.913,1386.73,647.331,3028.49,1582.49,749.526,578.719,309.424,1527.21,1298.57,2278.82,492.744,2040.06
BIRC6,ENSG00000101997,3159.64,2640.19,4793.07,2016.49,3361.65,1355.53,2953.79,4712.93,2553.54,1633,2073.35,142.599,2822.77,2344.91,4966.32,2507.21,1823.12
TNPO2,ENSG00000099204,1106.46,1439.49,1332.35,904.845,1024.16,231.333,553.942,1162.92,2014.21,974.61,581.228,625.304,1361,793.297,1039.62,505.866,364.798
TNPO1,ENSG00000158856,5355.7,3890.92,9558.96,4600.76,2043.67,3358.21,3744.07,4347.82,4277.95,3148.9,2134.75,1536.31,5356.47,3935.98,5358.32,1410.2,2214.24
L2HGDH,ENSG00000165861,602.695,494.487,997.423,895.558,4750.95,1231.74,1552.06,488.425,1400.83,2306.97,521.32,679.982,1534.21,2066.69,1889.6,1714.15,864.3
AGL,ENSG00000151553,4022.13,1150.77,2328.02,2018.94,4121.18,1593.5,1132.88,2073.72,1490.42,737.476,1199.32,585.136,4817.12,3001.13,3268.92,993.457,1948.64
UTP18,ENSG00000108828,831.42,1027.73,2122.12,1117.87,3355.37,1921.52,1257.72,1737.36,1125.66,2358.71,1408.82,1505.72,1719.65,2032.2,2512.13,2564.21,1563.87
GFER,ENSG00000128050,496.19,768.3,350.478,131.213,466.194,1166.27,1200.22,1139.63,321.963,914.667,258.155,241.912,1644.02,1092.76,1078.38,1164.49,1041.04
MED24,ENSG00000086475,1235.99,853.982,1652.2,1379.96,2059.63,633.876,2205.26,1445.66,1752.28,2068.8,1410.75,372.593,1058.48,1312.09,1949.12,1326.19,142.062
TRAPPC8,ENSG00000096696,1731.81,1321.63,1038.59,914.912,2161.18,411.282,416.433,3043.92,2718.9,1129.14,1518,308.491,2544.49,2005.51,3018.24,798.691,2331.6
DENND4C,ENSG00000143106,904.525,1060.4,1540.36,650.955,3969.59,189.85,1187.72,1812.2,1221.31,1020.96,2439.37,182.005,1662.99,1701.32,3253.8,1117,651.907
VPS8,ENSG00000141480,340.626,664.097,1504.57,517.213,3124.28,448.422,1203.92,2305.95,1899.63,502.013,515.335,71.1093,1480.49,958.369,1812.14,1159.23,193.431
DENND4A,ENSG00000137486,103.088,502.569,682.561,152.989,80.9784,84.9105,161.632,955.71,929.355,656.801,751.006,80.1988,994.543,1793.58,370.515,206.994,283.998
CCDC22,ENSG00000042445,1675.64,1631.28,1310.94,1516.33,1590.98,703.969,1449.23,1216.95,1893.98,1826.6,1188.12,401.287,1467.28,2238.51,976.246,193.434,946.97
ABLIM1,ENSG00000139132,882.996,1620.01,499.257,2397.22,1764.01,1565.69,1327.43,665.974,485.815,4423.44,563.128,1679.28,797.683,3474.44,411.508,6252.4,1443.33
DMTN,ENSG00000053371,189.731,24.3485,69.3863,118.649,101.181,124.719,1807.7,143.512,96.5587,216.762,385.851,113.637,627.447,253.744,283.23,148.64,212.451
ZFYVE1,ENSG00000134900,324.573,571.511,1238.29,255.401,668.457,1106.88,562.109,488.267,731.301,403.307,140.204,54.715,891.216,552.011,689.757,390.503,419.905
FAM160B1,ENSG00000075975,557.518,575.15,475.445,305.581,288.39,245.32,279.222,2085.01,2170.55,1344.02,152.842,216.198,2158,1902.96,843.828,258.317,234.87
VAT1,ENSG00000143653,3153.22,2967.09,4505.78,525.192,3086.11,2559.41,2043.9,4361.57,923.477,889.884,783.947,721.472,2939.25,2658.96,3800.2,543.305,5771.48
PAICS,ENSG00000033178,5397.27,3481.72,7625.25,1240.86,1906.29,2200.1,1937.95,2169.37,2665.23,945.586,1183.29,303.408,2348.14,2849.93,4227.69,844.442,3787.55
SEPHS1,ENSG00000148843,2662.32,1413.99,1416.91,1260.06,557.69,569.562,607.516,3529.17,1034.2,1103.33,1099.36,577.084,1742,1455.58,870.023,563.197,2766.08
DSP,ENSG00000068784,20940,26436.7,8692.91,42947,36071.9,8887.97,24398.2,2706.53,13248.7,54105.4,6330.18,7076.43,31436.2,42244.9,3517.08,18898.2,23888.4
PSMA5,ENSG00000119471,4579.01,3733.02,4239.82,2095.82,2283.36,2431.2,2795.93,7108.89,2567.92,1965.04,2017.33,920.535,2679.52,3527.24,6573.72,1506.96,5529.4
ARRB2,ENSG00000131446,527.023,588.141,288.461,297.522,795.575,293.742,482.225,872.251,301.552,504.853,479.383,298.485,192.721,1588.96,463.742,650.957,740.617
ARRB1,ENSG00000034152,621.502,955.43,1271.63,917.198,480.648,329.085,869.842,681.28,466.774,369.915,1972.86,433.203,1020.92,3494.73,302.876,405.171,531.303
RETSAT,ENSG00000065559,2919.22,1533.91,2622.09,2001.04,2559.37,445.273,2103.26,1302.43,808.768,1462.06,985.156,315.367,1321.7,1201.65,949.893,651.785,537.763
FGD4,ENSG00000138182,896.603,282.956,1297.87,764.032,988.539,532.96,4343.42,627.018,220.531,928.081,2734.83,721.814,1395.89,600.378,105.687,1372.82,642.711
AKR7A2,ENSG00000132470,1319.11,1868.64,1181.41,1044.08,775.223,997.955,1176.1,1118.4,1591.48,595.643,346.511,633.418,1323.7,1238.96,627.348,1238.57,1093.89
TPP2,ENSG00000183255,6810.75,3727.63,10737.7,4333.64,8400.14,4611.17,8766.6,6811.54,5000.83,2623.77,4237.97,4673.22,4592.17,9908.01,9400.48,4152.1,4060.05
MKRN2,ENSG00000151348,967.215,277.194,1203.74,511.462,581.605,538.249,460.925,681.895,950.437,556.073,569.437,609.59,689.221,1121.23,649.831,506.793,2969.64
SCCPDH,ENSG00000163703,1955.51,1187.54,2017.55,1466.33,3128.76,2177.5,1549.57,1008.33,532.145,520.463,353.631,2344.13,1421.01,1385.99,2395.24,3040.82,638.309
UBA6,ENSG00000131013,7704.79,5727.25,8572.41,3307.38,3184.07,6849.17,2659.62,8760.55,7147.34,2802.72,4329.77,1218.1,3655.34,3772.53,9647.39,2634.09,7723.55
PDCD11,ENSG00000131778,7054.42,7611.18,12918.2,5154.34,11769.6,6383.65,13940.4,10589.7,4664.76,7574.25,4923.57,5626.31,7217.12,9606.54,10996.7,9247.47,2727.74
SRBD1,ENSG00000148516,1604.48,1377.27,2550.52,1353.09,3810.77,1535.44,3220.05,1535.8,2043.65,2214.37,763.259,520.977,1499.67,2018.05,3357.99,4846.25,226.097
HSDL2,ENSG00000011028,7456.91,2661.44,2418.16,2462.08,2443.95,2208.15,6128.02,2845.67,3874.2,4041.62,2115.2,3223.76,3792.62,4770.73,1535.91,6455.31,1704.07
MAP2K3,ENSG00000163933,1111.43,571.666,2939.36,484.425,810.389,243.163,322.317,1852.03,289.337,237.428,496.678,142.097,1068.13,391.479,780.746,522.783,314.089
MAP2K4,ENSG00000146247,1097.17,535.126,725.6,229.397,954.702,234.963,250.37,720.748,1024.91,732.468,348.442,60.3606,198.829,904.036,2878.61,394.049,102.126
KIF20B,ENSG00000120008,202.728,2019.92,926.525,140.595,1814.22,3211.96,1599.92,697.85,637.167,2085.49,726.214,1068.21,886.053,265.622,1520.45,2082.28,465.635
ITGB4,ENSG00000135821,10083.9,4967.58,2417.62,1652.69,3582.01,1614.66,5013.91,435.93,10267.2,2775.96,763.957,1523.13,12304.1,3540.1,802.655,3182.54,3880.01
PTTG1IP,ENSG00000101384,1134.51,660.995,350.469,531.39,28.7712,147.778,589.595,333.803,845.798,795.794,249.677,79.0128,332.939,1544.05,187.895,291.693,573.049
EXT2,ENSG00000096384,1158.92,792.426,995.073,199.078,1126.86,841.598,1989,257.43,1157.48,1048.32,594.884,360.196,682.752,569.805,858.108,1186.16,76.3395
CRELD1,ENSG00000080824,1573.46,428.57,726.379,272.824,242.322,984.355,3367.54,758.602,4321.69,2914.33,579.627,940.918,1379.81,1991.43,400.391,2191.07,1445.98
PPIL4,ENSG00000126602,1401.31,769.75,1394.98,1052.52,1890.99,2099.37,2781.94,1195.76,1041.62,1594.48,696.4,534.433,856,2122.76,3377.98,3374.98,1524.57
CHD1L,ENSG00000166598,1121.49,1214.11,2123.51,456.399,3556.28,495.433,2372.54,1353.5,761.166,815.016,720.774,326.134,739.029,1102.36,5164.3,828.255,527.848
ZEB1,ENSG00000125450,83.0055,650.39,504.261,22.9828,41.6341,785.949,468.872,9511.87,427.402,185.981,587.688,204.12,320.408,529.486,1035.44,1241.36,1485.41
MRC2,ENSG00000181555,1634.8,672.14,1786.97,150.716,794.978,479.524,187.293,808.622,1339.01,555.287,3127.86,170.074,626.723,275.142,2972.48,3021.71,3858.14
PI4KAP2,ENSG00000105447,783.07,253.608,710.761,1228.92,1148.59,294.043,930.978,792.913,573.858,319.49,292.533,74.3348,822.062,2496.77,211.412,556.294,137.9
RFT1,ENSG00000141456,111.323,694.494,596.999,566.428,1167.05,487.472,434.581,378.322,193.77,167.75,370.946,110.845,49.301,269.899,803.22,441.521,145.917
WDR11,ENSG00000135862,1906.61,1152.8,2693.52,1580.39,2345.05,839.397,2743.96,4312.06,2497.21,3352.16,1550.22,625.21,2627.89,3854.12,2772.28,2653.91,286.908
GLUL,ENSG00000058085,712.189,1355.04,183.72,485,1466.83,1803.88,244.603,623.49,1276.67,1135.04,710.155,122.482,1063.83,783.412,1533.41,856.614,113.96
JAG1,ENSG00000113851,542.052,334.988,165.649,475.125,267.463,5175.04,7879.55,209.785,259.224,2873.37,241.172,382.401,623.191,4835.43,185.05,896.404,116.673
HSP90AB1,ENSG00000151176,30548.1,15678.2,26778.3,5471.52,14030.5,10125,7127.46,8803.48,3769.98,2713.92,5406,1841.21,7126.74,7152.11,15593.7,3480,8082.81
HSP90AA1,ENSG00000141569,71373.4,37004.7,67943,20865.8,29199.2,27531.4,24206.8,18408.3,27394.9,11465.5,10027.8,3811.52,18395,22077.1,28367.9,8810.25,31775.3
TRAP1,ENSG00000119899,8640.18,12392.7,12592.7,5796.61,8030.29,4385.95,8586.38,3945.66,2629.16,3604.32,4253.43,5133.44,3000.85,11157.6,7864,7287.83,4526.38
HSP90B1,ENSG00000135763,34520.6,23869.9,24533.7,20057.9,20561.7,50189.4,53781,13123.1,27149.7,30998.9,20655.8,9617.06,24097.9,43069.4,19933.4,16085,19047.9
NUP85,ENSG00000117748,1459.14,1045.51,2481.02,1358.09,1659.92,834.265,2321.64,611.384,583.601,623.77,493.715,526.158,1657.13,1341.21,1625.07,1699.23,582.748
SETD2,ENSG00000143369,1302.13,1563.66,2649.19,1163.48,6106.06,2846.1,2442.31,2675.96,1607.76,3137.38,1629.49,1650.31,2084.63,1760.26,3870.91,5070.99,3472.54
GRWD1,ENSG00000126107,1110.02,989.457,1345.33,635.348,2040.05,1738.72,1294.18,3113.09,1634.12,2068.52,948.266,652.79,1502.04,3454.27,1780.12,1132.63,2047.82
PELP1,ENSG00000101158,1655.43,2252.69,2098.57,1042.46,1872.9,3040.76,3145.26,2822.72,1364.73,2880.99,1837,1404.93,1804.58,2357.31,2890.67,2090.66,1406.79
LAMC1,ENSG00000163161,4488.08,5346.75,10087.7,4138.1,8624.83,21044.5,66584.2,4671.1,6202.75,8034.77,5825.42,8964.79,5307.73,7492.31,8548.4,28570.9,6813.75
LAMC2,ENSG00000110429,367.726,2995.68,1351.47,796.665,1360.47,985.682,956.739,17831.3,2187.13,2458.53,7415.94,420.475,1547.14,7154.38,703.739,1874.63,490.961
CRBN,ENSG00000116209,422.87,140.725,404.407,172.621,76.16,96.5925,280.207,612.576,1304.4,216.842,407.223,44.2408,244.849,277.844,615.291,73.854,741.976
PLBD2,ENSG00000152133,3896.7,1238.08,1727.55,1348.66,1116.91,3945.81,5765.3,865.171,1773.18,1694.88,413.876,778.464,921.411,3078.73,2005.11,1052.06,1555.26
TRIM65,ENSG00000145425,996.61,215.052,170.335,520.503,111.306,291.391,184.13,641.449,181.285,176.446,335.596,209.626,180.051,94.0251,1137.57,158.172,972.907
SLC17A5,ENSG00000175550,573.056,145.897,290.808,924.533,1309.26,225.741,1320.49,111.9,233.978,321.323,27.2235,256.642,511.841,406.65,1215,1109.87,93.4005
URB2,ENSG00000183087,641.022,1047.07,3076.17,917.836,2095.24,1835.7,1327.56,2373.56,865.549,1043.89,345.171,543.554,1323.35,1459.46,2383.23,1366.58,217.423
RPA2,ENSG00000100425,893.313,766.336,788.118,199.03,820.826,670.572,749.124,1210.94,1391.28,1115.71,660.05,145.81,459.872,1760.01,2842.05,645.779,2174.79
ECM1,ENSG00000096070,1071.86,130.914,473.631,112.865,448.252,134.334,110.024,202.984,205.171,156.043,33.7778,91.3971,854.221,384.533,247.025,273.872,2095.91
HECTD3,ENSG00000170325,1905.03,646.48,738.331,217.948,420.432,109.513,539.246,1053.25,1390.84,423.158,253.939,21.1247,881.906,664.528,887.624,415.152,126.74
NELFCD,ENSG00000156983,2114.8,1433.12,1628.37,812.593,1466.94,377.267,1064.76,569.47,1089.33,1440.43,986.552,844.995,1562.12,587.446,1203.43,557.639,451.129
ERCC3,ENSG00000117593,1153.19,1023.63,1247.68,860.099,3469,1043.33,1425.45,1769.76,1847.53,1827.16,1580.25,786.213,2614.16,1172.93,1131.91,1241.22,121.346
FBXO3,ENSG00000087206,317.185,535.84,216.737,97.7632,336.339,185.511,65.6313,578.932,244.571,79.7998,161.773,55.4605,45.4963,475.196,384.211,233.306,68.7451
TMEM59,ENSG00000159314,2446.27,454.517,374.325,253.504,421.526,201.78,402.679,212.732,1245.61,590.006,69.7804,116.393,786.018,845.215,398.617,365.107,537.883
GPATCH11,ENSG00000161533,468.869,355.033,480.005,364.127,188.16,782.223,656.531,1351.7,283.459,228.222,185.473,82.8462,560.088,482.899,801.764,658.016,431.072
RPS3A,ENSG00000185246,9233.74,7985.98,21724.5,6285.85,8554.75,5185,8250.31,6241.13,4928.58,2749.37,4186.12,1677.48,6244.26,7836.16,14098.7,3255.31,3904.54
DRAP1,ENSG00000163468,1498.29,1556.83,1644.46,658.282,408.88,1043.15,285.966,573.44,865.605,394.284,732.132,110.43,487.384,647.194,1084.86,810.982,2793.89
GAS6,ENSG00000104635,289.383,95.6433,102.459,58.178,233.635,213.279,7.75621,523.719,2129.01,103.313,22.4969,58.2328,379.604,262.004,187.528,207.9,942.885
BRD1,ENSG00000163655,302.557,13.6567,866.219,778.861,1739.99,1147.38,1379.69,444.192,571.754,931.226,283.422,517.363,1236.64,633.195,2518.29,986.996,186.308
BRPF3,ENSG00000101596,154.574,75.9584,97.2562,70.3883,1596.86,1201.95,48.6456,140.922,565.969,585.471,155.5,80.4079,226.567,136.067,339.684,243.622,227.249
PRDM10,ENSG00000178921,313.676,335.935,587.06,90.3831,378.462,174.915,805.077,415.54,186.882,293.371,104.188,344.683,646.137,804.054,284.941,892.327,118.393
BRPF1,ENSG00000157593,1127.19,275.035,1010.39,527.296,1537.2,1078.46,822.108,746.165,599.121,1117.44,237.037,155.344,546.18,677.714,1025.49,553.659,426.008
DARS2,ENSG00000105655,2292.72,2904.71,6501.96,3771.02,4951.44,2282.19,1893.47,2747.24,2416.44,3069.71,2002.94,4382.54,3402.87,2854.2,4602.08,4776.21,2112.78
UIMC1,ENSG00000093000,697.275,800.987,1143.43,648.393,1224.56,3673.55,1581.17,2131.7,1035.65,1319.79,1312.02,1279.82,734.551,1848.87,2716.22,2927.54,1213.72
ARHGAP27,ENSG00000164050,320.852,23.4231,135.262,74.2481,300.735,44.4028,94.6439,181.889,226.774,219.226,110.105,31.2277,907.492,153.408,287.847,191.196,189.176
ACOX1,ENSG00000156535,4351.14,1508.7,1005.68,2536.54,1344.15,3783.07,418.712,541.046,836.218,3195.5,883.155,935.8,4328.66,3488.65,1185.97,749.792,992.412
PRPF39,ENSG00000177830,466.219,803.88,932.121,562.135,1230.48,644.854,1847.49,196.806,696.335,449.22,391.749,124.474,892.037,512.288,849.553,298.266,21.3863
CCT3,ENSG00000181090,11620.2,10189.2,12413.1,7846.61,7977.74,5232.23,9085.44,6961.34,5152.06,3884.74,6241.49,2265.33,3904.02,8548.89,6190.51,1926.04,5765.23
SLC39A14,ENSG00000133704,1263.34,380.122,604.642,398.545,130.249,145.187,515.529,123.606,268.441,1084.68,666.512,449.473,239.329,538.604,718.835,166.133,352.407
GMPS,ENSG00000115652,8158.85,5880,11056.2,7041.83,3933.53,3785.14,4339.96,9732.39,10638,8488.32,4382.01,1316.19,4856.7,5243.4,10015.9,4522.97,6847.66
SMCHD1,ENSG00000149273,9331.03,4458.07,8474.93,4646.7,10714.7,11230.4,12302.2,6415.22,5541.18,8291.67,5451,3346.77,5675.1,19375.1,11150.6,7058.26,2149.88
PFAS,ENSG00000138107,2368.9,2659.7,8616.22,1227.92,1178.73,6156.27,4685.14,7096.58,2796.13,963.287,2140.14,822.85,1080.61,2996.29,9435.12,4075.05,5404.67
SLC35B2,ENSG00000002822,3348.77,2454.41,956.545,894.165,634.041,475.261,1257.71,301.803,673.373,618.141,624.511,302.657,1166.84,887.957,459.258,284.53,109.972
ISYNA1,ENSG00000110395,1371.26,580.7,733.806,642.504,1165.31,838.967,1436.05,3051.16,391.92,745.895,519.905,35.446,103.458,956.169,8234.96,1919.06,1643.22
NUP50,ENSG00000115806,7542.9,2071.73,3900.2,2469.94,4523.43,4057.73,5343.27,5960.58,2157.34,4537.37,1998.99,2083.76,4312.32,2185.74,7627.07,5782.44,6165.56
PLXNB1,ENSG00000147475,83.2733,34.9972,492.703,846.426,1668.97,1076.6,1433.65,103.956,674.76,4280.57,382.352,430.65,2919.84,1055.51,167.028,2198.62,304.248
CD109,ENSG00000107566,6484.95,8439.25,1830.72,1126.41,3060.02,774.373,755.633,2180.49,5075.19,1865.63,3029.55,1541.41,5244.7,514.553,803.05,9607.92,4614.83
CHID1,ENSG00000095383,1777.99,401.59,2206.19,1379.83,1273.93,742.963,619.04,1077.82,1823.18,1076.01,1003.18,832.65,1144.79,1217.94,1206.1,501.974,531.586
